Soil_Type,Crop_Type,Crop_Growth_Stage,Season,Irrigation_Type,Previous_Crop,Region,Soil_pH,Soil_Moisture,Organic_Carbon,Electrical_Conductivity,Nitrogen_Level,Phosphorus_Level,Potassium_Level,Temperature,Humidity,Rainfall,Fertilizer_Used_Last_Season,Yield_Last_Season,Recommended_Fertilizer
Clay,Tomato,Vegetative,Zaid,Sprinkler,Tomato,Central,5.84,32.49,1.19,1.47,142,11,17,11.69,34.2,2743.12,115.48,7.91,DAP
Sandy,Maize,Flowering,Kharif,Rainfed,Potato,North,5.66,56.07,0.54,2.24,151,84,99,33.96,66.88,1091.87,217.86,1.91,DAP
Silt,Potato,Sowing,Rabi,Drip,Potato,Central,6.66,38.0,1.08,0.93,102,82,65,32.4,77.96,621.01,298.34,7.22,DAP
Sandy,Wheat,Harvest,Kharif,Rainfed,Maize,East,4.59,12.26,1.04,2.77,96,25,70,31.65,81.11,1412.94,158.99,7.57,DAP
Sandy,Cotton,Harvest,Zaid,Drip,Tomato,North,4.82,30.39,1.0,2.68,159,67,48,32.09,62.18,1639.16,177.48,7.19,Compost
Silt,Potato,Flowering,Zaid,Drip,Maize,North,6.17,30.82,0.55,0.4,147,43,93,38.21,75.95,345.65,183.6,4.17,NPK
Loamy,Sugarcane,Sowing,Rabi,Canal,Maize,North,8.27,58.27,0.55,0.18,85,52,27,22.5,38.99,2437.42,90.17,7.81,MOP
Loamy,Maize,Flowering,Zaid,Drip,Sugarcane,Central,7.39,39.96,1.32,2.93,74,33,106,35.85,74.6,2264.84,183.41,1.08,DAP
Loamy,Rice,Flowering,Zaid,Rainfed,Wheat,East,4.85,41.78,0.22,2.87,86,34,68,15.53,30.27,1633.03,207.51,3.09,DAP
Clay,Rice,Sowing,Kharif,Canal,Rice,North,7.89,45.66,0.44,1.32,23,50,27,23.54,41.69,720.7,172.43,1.99,Urea
Silt,Wheat,Sowing,Rabi,Drip,Rice,South,7.43,48.5,0.99,0.25,37,42,107,10.27,68.08,2794.43,165.22,2.08,Urea
Silt,Tomato,Flowering,Zaid,Sprinkler,Maize,North,6.94,41.75,1.26,1.89,31,52,92,18.52,49.23,2423.69,105.0,6.2,Urea
Sandy,Tomato,Sowing,Kharif,Sprinkler,Maize,Central,7.78,21.86,0.67,0.95,54,26,51,23.74,54.64,854.4,195.27,2.89,Urea
Clay,Wheat,Sowing,Rabi,Rainfed,Sugarcane,South,6.12,53.7,1.05,2.82,62,16,62,37.28,79.56,2260.76,187.06,3.76,DAP
Loamy,Maize,Flowering,Zaid,Sprinkler,Rice,East,5.39,46.61,0.92,2.4,97,68,42,19.51,64.27,483.82,282.37,5.22,Compost
Clay,Cotton,Harvest,Rabi,Drip,Tomato,East,6.55,47.09,0.28,1.98,114,36,30,30.17,53.94,531.65,141.77,6.49,DAP
Silt,Rice,Harvest,Zaid,Rainfed,Cotton,Central,6.7,59.83,1.01,0.93,86,45,80,35.02,57.95,1444.85,225.23,3.02,MOP
Silt,Tomato,Flowering,Zaid,Sprinkler,Wheat,North,6.65,50.13,1.26,2.13,83,28,69,19.8,80.91,2164.83,245.85,6.81,DAP
Sandy,Maize,Sowing,Zaid,Canal,Rice,East,6.76,51.46,1.49,0.94,112,24,23,15.08,59.14,2768.44,247.99,4.75,DAP
Sandy,Potato,Vegetative,Kharif,Drip,Wheat,West,8.29,57.57,0.24,0.21,122,79,42,27.74,82.52,2918.77,191.37,5.95,Zinc Sulphate
Silt,Rice,Flowering,Kharif,Canal,Potato,North,8.11,17.56,1.06,1.57,71,66,13,18.53,44.83,2137.34,206.14,5.85,MOP
Loamy,Sugarcane,Vegetative,Kharif,Canal,Potato,South,8.0,34.89,0.74,1.52,36,78,52,29.57,62.03,2392.96,250.35,7.26,Urea
Loamy,Wheat,Harvest,Zaid,Canal,Cotton,Central,7.71,39.03,0.21,2.31,52,62,11,14.04,52.14,1629.25,57.25,6.75,Urea
Clay,Potato,Vegetative,Zaid,Rainfed,Rice,Central,8.27,26.46,1.0,2.61,91,78,49,14.55,65.48,356.56,103.74,7.12,Zinc Sulphate
Silt,Maize,Flowering,Rabi,Rainfed,Wheat,South,4.89,51.97,0.36,1.13,100,11,59,30.28,64.53,550.82,181.25,5.71,DAP
Silt,Wheat,Vegetative,Kharif,Rainfed,Maize,North,5.56,48.12,0.69,1.4,64,27,104,39.21,64.28,2918.2,232.51,1.85,DAP
Loamy,Maize,Harvest,Zaid,Canal,Rice,South,6.48,46.04,0.54,1.46,96,41,72,17.41,61.67,1300.4,95.09,2.09,Zinc Sulphate
Loamy,Tomato,Vegetative,Rabi,Canal,Cotton,South,7.89,59.86,0.67,1.04,87,38,58,31.42,57.27,2361.24,267.27,6.76,DAP
Silt,Wheat,Harvest,Kharif,Drip,Wheat,West,6.52,22.97,0.84,2.26,69,58,119,25.96,84.62,817.31,178.34,5.39,Compost
Sandy,Wheat,Harvest,Zaid,Sprinkler,Rice,South,7.49,46.77,0.67,1.61,21,89,103,35.32,46.08,1692.15,144.63,1.22,Urea
Silt,Maize,Vegetative,Kharif,Sprinkler,Cotton,Central,5.06,37.57,0.92,2.75,140,84,73,21.67,56.04,627.53,87.94,2.12,Compost
Silt,Sugarcane,Sowing,Rabi,Drip,Maize,East,5.51,25.65,0.51,1.99,53,69,59,39.15,42.67,2464.44,190.0,7.14,Urea
Loamy,Rice,Sowing,Zaid,Canal,Sugarcane,North,7.43,18.03,1.03,0.71,35,37,19,12.47,49.94,670.58,247.07,4.95,Urea
Loamy,Maize,Sowing,Rabi,Sprinkler,Maize,East,5.16,54.79,1.31,0.58,143,36,94,39.54,44.94,2176.62,128.26,1.79,DAP
Sandy,Potato,Sowing,Rabi,Rainfed,Rice,South,5.91,39.77,0.49,1.18,83,17,32,35.39,70.18,622.55,174.11,1.39,DAP
Sandy,Sugarcane,Harvest,Zaid,Sprinkler,Rice,South,5.56,51.25,0.86,1.11,84,81,46,35.99,72.46,2492.26,94.21,8.0,Zinc Sulphate
Clay,Cotton,Flowering,Rabi,Drip,Sugarcane,West,5.9,37.27,1.04,1.28,32,32,81,35.27,46.6,1608.17,114.96,3.07,Urea
Silt,Potato,Sowing,Zaid,Canal,Tomato,Central,7.33,21.0,0.93,0.63,59,41,19,35.86,89.02,1354.8,222.82,5.62,Urea
Loamy,Wheat,Harvest,Rabi,Sprinkler,Sugarcane,North,5.97,26.88,0.68,2.94,86,24,34,34.45,47.05,1142.99,291.61,3.3,DAP
Sandy,Wheat,Vegetative,Rabi,Rainfed,Wheat,South,6.72,29.08,1.03,0.52,33,77,42,36.99,79.7,2125.63,203.12,6.33,Urea
Clay,Rice,Vegetative,Rabi,Sprinkler,Sugarcane,Central,4.9,58.65,0.24,1.99,139,49,26,23.82,47.56,446.55,207.87,7.36,MOP
Clay,Rice,Harvest,Rabi,Rainfed,Sugarcane,East,7.72,10.28,0.68,0.14,139,66,33,38.18,54.79,2597.35,270.21,4.32,MOP
Loamy,Potato,Harvest,Zaid,Canal,Sugarcane,North,5.98,59.28,0.89,1.28,77,56,58,21.55,69.88,2331.48,95.41,7.35,Zinc Sulphate
Loamy,Tomato,Vegetative,Zaid,Canal,Maize,North,7.09,59.02,0.23,1.0,111,19,115,31.86,63.46,1244.25,253.43,3.07,DAP
Clay,Wheat,Sowing,Zaid,Sprinkler,Potato,West,7.4,59.81,0.86,1.21,65,65,39,31.31,60.37,2937.38,264.64,5.76,MOP
Sandy,Wheat,Flowering,Rabi,Sprinkler,Wheat,Central,5.34,33.83,1.05,1.54,109,61,74,34.63,77.65,2529.77,223.41,2.13,Compost
Clay,Maize,Flowering,Rabi,Sprinkler,Sugarcane,North,8.04,58.19,1.19,1.84,145,72,90,32.15,72.46,958.3,58.83,2.78,Zinc Sulphate
Silt,Rice,Flowering,Kharif,Rainfed,Wheat,East,6.96,29.78,0.35,1.79,129,60,37,11.06,84.85,2685.66,281.48,6.73,MOP
Silt,Maize,Vegetative,Kharif,Drip,Potato,East,6.21,11.31,1.49,1.93,134,88,22,32.17,43.85,477.12,198.24,7.55,MOP
Loamy,Maize,Vegetative,Kharif,Rainfed,Sugarcane,South,5.23,21.22,0.99,2.55,140,79,66,10.7,30.98,2130.8,105.43,6.05,Compost
Sandy,Tomato,Harvest,Kharif,Rainfed,Wheat,South,8.27,57.26,0.67,2.67,52,18,69,26.0,89.99,567.76,171.69,2.09,Urea
Sandy,Wheat,Vegetative,Zaid,Sprinkler,Tomato,East,7.52,10.69,0.52,2.24,65,50,19,35.17,47.0,2932.59,192.06,1.17,MOP
Silt,Rice,Harvest,Rabi,Sprinkler,Wheat,Central,5.33,37.3,0.94,0.33,101,49,74,34.89,32.58,339.16,70.01,1.58,Compost
Clay,Sugarcane,Harvest,Kharif,Sprinkler,Sugarcane,Central,5.85,13.78,1.35,2.89,144,25,93,35.24,44.84,851.73,198.24,3.29,DAP
Loamy,Tomato,Sowing,Zaid,Canal,Sugarcane,East,7.74,24.32,0.88,2.85,73,34,16,28.07,70.13,1684.36,205.03,3.33,DAP
Clay,Rice,Sowing,Rabi,Canal,Wheat,East,7.28,14.4,1.06,2.16,85,19,69,15.51,65.29,1835.09,248.88,1.3,DAP
Clay,Maize,Sowing,Zaid,Sprinkler,Rice,South,7.56,52.98,0.67,1.6,151,39,72,25.24,42.4,1636.16,280.6,7.91,DAP
Clay,Maize,Flowering,Kharif,Rainfed,Tomato,East,6.26,39.55,0.7,0.83,73,18,105,25.49,41.17,2272.27,165.53,4.86,DAP
Sandy,Wheat,Flowering,Rabi,Sprinkler,Wheat,South,7.37,55.11,0.57,2.29,133,49,94,19.74,56.66,204.35,119.88,1.36,MOP
Silt,Cotton,Flowering,Kharif,Drip,Maize,South,6.05,44.42,1.12,2.65,23,66,35,22.72,30.81,1778.69,219.86,5.73,Urea
Sandy,Rice,Sowing,Rabi,Sprinkler,Cotton,South,5.35,58.55,0.67,2.03,99,55,118,36.17,30.14,1921.87,87.28,7.07,Compost
Silt,Tomato,Flowering,Kharif,Sprinkler,Wheat,West,7.03,35.49,0.45,1.92,92,16,80,25.54,67.01,785.41,74.68,2.8,DAP
Loamy,Sugarcane,Flowering,Rabi,Rainfed,Wheat,Central,8.4,41.94,0.68,0.66,46,52,47,31.14,49.52,2045.58,245.66,6.6,Urea
Loamy,Rice,Flowering,Kharif,Canal,Rice,East,5.74,38.82,1.31,1.14,44,57,63,24.87,31.43,2031.15,265.53,7.2,Urea
Clay,Rice,Harvest,Kharif,Sprinkler,Sugarcane,West,6.34,34.21,1.16,2.2,112,85,54,28.52,57.59,1684.43,253.45,1.96,Zinc Sulphate
Silt,Maize,Flowering,Rabi,Canal,Rice,South,7.2,52.3,0.64,0.15,99,66,113,12.78,86.13,926.01,272.31,3.9,Compost
Silt,Potato,Flowering,Kharif,Canal,Rice,West,6.67,42.23,1.38,1.96,111,26,67,37.94,45.29,1366.38,119.25,1.65,DAP
Silt,Tomato,Harvest,Zaid,Sprinkler,Potato,West,7.87,50.07,0.3,2.32,39,34,50,23.08,45.06,962.85,206.97,1.15,Urea
Clay,Wheat,Sowing,Rabi,Drip,Tomato,Central,7.55,49.32,0.26,1.07,72,16,54,32.45,58.08,2355.23,202.93,6.35,DAP
Clay,Sugarcane,Flowering,Kharif,Sprinkler,Tomato,North,4.73,19.55,0.37,0.32,102,64,100,30.01,38.91,1932.08,61.09,1.57,Compost
Loamy,Sugarcane,Flowering,Rabi,Rainfed,Tomato,South,8.49,42.51,0.35,2.48,93,28,43,33.98,68.28,623.4,56.38,4.85,DAP
Sandy,Rice,Sowing,Zaid,Canal,Tomato,West,7.51,19.98,0.31,0.51,149,41,85,11.05,80.36,1789.31,268.94,4.41,NPK
Silt,Rice,Vegetative,Zaid,Rainfed,Rice,East,7.96,39.17,1.06,1.18,22,41,85,38.06,41.67,2729.12,54.42,4.4,Urea
Silt,Potato,Flowering,Zaid,Canal,Rice,North,7.1,43.87,0.98,2.15,122,35,67,34.89,69.52,2531.84,232.49,7.25,DAP
Sandy,Tomato,Vegetative,Zaid,Canal,Rice,North,7.93,59.86,1.04,2.47,85,81,88,35.01,83.28,2695.37,157.37,5.1,Zinc Sulphate
Silt,Potato,Sowing,Zaid,Canal,Wheat,West,4.95,11.53,1.09,2.6,128,31,93,24.01,84.18,2767.62,59.86,7.7,DAP
Clay,Tomato,Harvest,Zaid,Rainfed,Cotton,North,5.89,14.56,1.18,1.64,34,64,19,33.89,63.17,726.98,262.73,6.16,Urea
Clay,Sugarcane,Flowering,Kharif,Sprinkler,Potato,North,8.01,13.85,0.47,1.48,154,66,119,27.26,39.14,2214.97,147.41,4.35,Zinc Sulphate
Silt,Sugarcane,Vegetative,Zaid,Sprinkler,Tomato,West,5.31,29.92,1.01,2.56,147,17,99,25.1,69.55,2004.22,233.85,1.88,DAP
Clay,Tomato,Vegetative,Rabi,Rainfed,Rice,Central,4.81,51.08,0.95,1.73,101,55,26,33.55,74.09,293.49,175.24,5.11,MOP
Clay,Cotton,Sowing,Rabi,Rainfed,Tomato,East,7.65,52.2,1.43,1.78,90,14,83,28.83,75.26,2378.98,267.33,5.84,DAP
Silt,Cotton,Sowing,Zaid,Rainfed,Rice,South,7.84,46.85,0.5,1.36,60,21,70,12.31,86.06,780.14,175.55,7.66,DAP
Loamy,Sugarcane,Vegetative,Kharif,Drip,Rice,Central,5.15,54.84,0.28,1.18,145,36,20,19.44,66.92,2767.62,238.78,3.11,DAP
Sandy,Wheat,Flowering,Kharif,Canal,Sugarcane,South,7.92,26.14,1.05,1.49,142,20,26,28.66,57.97,2538.78,200.01,7.99,DAP
Clay,Cotton,Flowering,Rabi,Sprinkler,Sugarcane,West,7.25,14.41,1.16,1.16,52,45,84,37.11,60.15,2352.9,245.37,1.43,Urea
Loamy,Maize,Sowing,Kharif,Drip,Wheat,South,6.58,12.91,0.57,1.1,83,61,24,37.99,49.29,2151.0,77.25,2.5,MOP
Clay,Tomato,Flowering,Zaid,Rainfed,Maize,Central,7.82,52.61,0.94,2.98,153,11,13,35.17,33.44,1516.23,138.57,7.82,DAP
Clay,Maize,Harvest,Rabi,Drip,Wheat,East,6.18,46.52,0.28,1.08,82,83,98,17.63,73.05,2433.96,141.77,3.89,Zinc Sulphate
Sandy,Potato,Sowing,Kharif,Drip,Rice,Central,5.28,44.93,1.45,0.84,145,80,109,24.2,31.19,2493.85,77.97,7.91,Compost
Clay,Tomato,Sowing,Zaid,Rainfed,Potato,North,5.64,26.98,0.34,1.13,27,21,62,23.0,33.85,475.75,273.95,7.92,Urea
Sandy,Maize,Sowing,Zaid,Canal,Sugarcane,North,6.52,29.0,0.29,1.81,112,64,56,23.16,50.05,1126.96,116.53,3.09,Zinc Sulphate
Sandy,Rice,Flowering,Rabi,Drip,Tomato,Central,6.63,57.91,0.26,2.74,47,89,104,11.49,85.86,1086.63,244.51,4.32,Urea
Sandy,Tomato,Sowing,Kharif,Rainfed,Sugarcane,North,7.72,13.19,0.76,2.38,72,40,55,15.21,58.99,548.93,171.6,2.46,DAP
Loamy,Cotton,Vegetative,Zaid,Drip,Maize,Central,7.67,48.69,0.33,2.54,139,41,38,14.6,42.91,2932.21,271.96,6.77,MOP
Silt,Potato,Sowing,Rabi,Sprinkler,Maize,Central,6.83,25.48,1.17,2.59,143,73,40,28.52,83.82,1834.06,232.43,1.97,DAP
Loamy,Potato,Vegetative,Rabi,Sprinkler,Maize,East,7.62,11.95,1.37,2.77,74,68,82,22.35,64.3,1851.43,239.4,2.15,NPK
Silt,Rice,Flowering,Rabi,Sprinkler,Potato,East,5.27,47.13,0.54,0.78,73,34,57,19.73,52.19,1270.88,171.73,6.64,DAP
Silt,Wheat,Harvest,Rabi,Rainfed,Tomato,East,4.7,26.55,1.02,1.43,80,78,65,23.32,72.94,2352.32,147.31,6.46,Compost
Sandy,Sugarcane,Vegetative,Zaid,Rainfed,Tomato,North,7.99,46.11,0.26,1.22,116,77,74,19.73,56.47,1531.82,167.13,6.54,Zinc Sulphate
Clay,Sugarcane,Sowing,Kharif,Canal,Rice,North,4.8,45.38,0.7,1.21,73,53,12,32.72,73.8,2278.29,172.37,2.46,MOP
Sandy,Wheat,Sowing,Rabi,Canal,Potato,South,5.49,36.74,0.58,1.99,48,52,13,15.01,43.1,2658.44,64.73,6.0,Urea
Clay,Tomato,Sowing,Zaid,Sprinkler,Potato,Central,7.28,48.87,0.5,1.27,100,24,28,11.68,39.01,2039.39,76.58,3.78,DAP
Silt,Cotton,Harvest,Zaid,Sprinkler,Sugarcane,Central,6.14,39.05,1.04,1.89,128,22,50,29.52,57.66,1944.75,122.36,5.58,DAP
Sandy,Potato,Flowering,Zaid,Canal,Cotton,East,8.01,24.33,0.37,1.21,46,78,31,16.92,49.18,2403.37,153.39,2.42,Urea
Clay,Wheat,Harvest,Kharif,Drip,Potato,North,5.69,46.71,1.32,1.0,134,79,81,29.3,66.31,1608.43,66.81,7.43,NPK
Loamy,Potato,Harvest,Kharif,Sprinkler,Cotton,East,4.55,39.46,1.06,1.12,159,54,34,11.76,77.33,2472.6,170.02,5.15,MOP
Clay,Sugarcane,Flowering,Kharif,Drip,Maize,North,5.7,10.64,1.12,2.43,145,34,13,17.41,84.09,459.0,195.2,6.31,DAP
Sandy,Sugarcane,Sowing,Kharif,Sprinkler,Rice,North,6.81,55.08,1.42,1.84,42,34,118,14.62,75.63,877.4,290.19,4.06,Urea
Loamy,Potato,Flowering,Kharif,Rainfed,Sugarcane,Central,6.0,37.28,1.43,2.92,69,19,62,18.72,50.5,2788.87,76.11,6.96,DAP
Clay,Wheat,Vegetative,Rabi,Rainfed,Sugarcane,North,6.64,53.43,0.92,2.51,94,71,60,19.87,73.64,679.34,252.43,3.7,NPK
Clay,Rice,Vegetative,Kharif,Canal,Tomato,North,8.01,54.14,0.84,1.51,107,21,87,24.86,61.79,1468.58,232.86,3.05,DAP
Clay,Potato,Harvest,Rabi,Sprinkler,Sugarcane,Central,8.15,32.25,0.64,0.8,78,76,14,25.6,84.36,1546.02,236.41,7.88,MOP
Clay,Wheat,Flowering,Rabi,Sprinkler,Maize,South,5.56,35.38,1.13,2.05,28,38,59,28.9,72.41,1369.05,261.34,4.42,Urea
Clay,Rice,Harvest,Zaid,Drip,Cotton,Central,6.35,30.79,0.9,2.21,52,52,59,19.95,39.01,2627.35,291.37,3.46,Urea
Loamy,Cotton,Harvest,Rabi,Sprinkler,Tomato,North,6.7,32.47,1.41,1.45,89,46,68,25.96,34.69,2299.26,210.16,4.93,MOP
Silt,Potato,Flowering,Rabi,Rainfed,Cotton,North,8.3,54.76,0.51,0.77,25,78,102,39.7,62.63,2468.58,271.08,6.77,Urea
Loamy,Sugarcane,Sowing,Kharif,Rainfed,Rice,North,8.49,49.41,0.6,1.72,151,20,30,16.32,51.9,2975.63,81.37,4.62,DAP
Loamy,Maize,Sowing,Kharif,Sprinkler,Wheat,North,5.44,16.33,0.61,0.84,22,49,88,14.58,40.09,2929.5,109.5,4.65,Urea
Loamy,Maize,Harvest,Kharif,Rainfed,Rice,North,7.41,40.52,1.25,2.83,45,72,32,35.28,77.86,2697.89,144.37,4.67,Urea
Silt,Sugarcane,Harvest,Kharif,Rainfed,Cotton,Central,6.01,59.8,0.33,1.92,53,31,90,22.31,52.53,1783.77,69.32,4.42,Urea
Sandy,Wheat,Vegetative,Kharif,Canal,Cotton,South,4.53,39.78,0.79,0.95,66,24,12,35.41,35.16,1043.65,105.12,5.89,DAP
Silt,Tomato,Sowing,Rabi,Drip,Sugarcane,Central,4.54,49.29,0.76,0.73,155,18,106,22.74,45.74,2226.37,294.94,6.84,DAP
Loamy,Potato,Flowering,Zaid,Drip,Potato,Central,6.34,48.45,0.3,2.18,95,79,59,10.65,70.61,2857.97,235.34,5.35,SSP
Clay,Potato,Harvest,Kharif,Sprinkler,Potato,East,6.45,27.52,0.73,2.15,155,73,63,21.25,68.88,2972.64,229.77,3.24,Zinc Sulphate
Clay,Potato,Harvest,Kharif,Rainfed,Tomato,North,4.59,28.59,0.87,1.83,51,15,100,28.3,45.75,1917.03,183.69,6.64,Urea
Loamy,Sugarcane,Vegetative,Kharif,Rainfed,Potato,North,7.25,46.2,0.28,1.88,40,52,25,23.43,50.47,2162.25,106.46,1.72,Urea
Clay,Tomato,Sowing,Rabi,Canal,Potato,West,5.68,35.0,0.86,1.85,110,29,15,23.78,32.99,980.44,80.52,3.67,DAP
Loamy,Tomato,Flowering,Rabi,Rainfed,Wheat,North,6.74,38.53,1.45,1.14,108,52,50,39.95,87.2,764.41,180.99,6.78,SSP
Clay,Wheat,Harvest,Zaid,Drip,Sugarcane,South,5.7,45.65,1.47,2.82,90,71,63,26.32,49.63,1988.75,214.79,6.02,Urea
Silt,Wheat,Flowering,Kharif,Sprinkler,Tomato,Central,5.17,48.88,0.89,1.49,61,76,19,30.91,85.76,830.39,190.7,7.78,MOP
Sandy,Sugarcane,Sowing,Rabi,Canal,Wheat,South,6.13,23.58,0.87,0.16,54,61,38,31.63,78.83,1306.97,165.11,3.67,Urea
Sandy,Tomato,Vegetative,Kharif,Sprinkler,Tomato,West,5.43,17.34,0.57,1.11,149,83,68,10.01,50.11,1579.21,56.22,5.46,Compost
Silt,Maize,Harvest,Rabi,Sprinkler,Maize,North,6.64,24.59,1.5,0.48,125,35,90,26.57,71.65,2811.55,199.53,6.55,DAP
Silt,Sugarcane,Harvest,Rabi,Canal,Tomato,West,5.3,35.38,0.56,1.15,95,40,112,38.89,58.42,2937.16,180.21,4.56,Compost
Loamy,Potato,Flowering,Kharif,Canal,Sugarcane,East,6.53,27.11,0.79,1.86,71,64,55,32.52,88.6,891.89,120.76,3.07,MOP
Loamy,Tomato,Vegetative,Rabi,Drip,Rice,East,5.13,38.42,0.2,0.17,36,77,87,20.21,68.31,569.55,249.07,1.82,Urea
Loamy,Wheat,Vegetative,Kharif,Rainfed,Tomato,West,7.18,12.67,0.65,2.62,105,66,21,20.94,61.14,829.67,223.12,2.55,MOP
Clay,Cotton,Sowing,Zaid,Canal,Rice,West,7.52,35.49,0.29,1.87,28,33,111,19.11,68.28,1652.89,293.09,1.39,Urea
Loamy,Potato,Flowering,Kharif,Rainfed,Maize,North,4.94,28.4,1.17,0.96,22,74,38,28.91,43.21,2392.16,175.28,2.87,Urea
Silt,Maize,Harvest,Kharif,Rainfed,Wheat,South,6.37,36.73,0.93,1.0,41,35,87,12.92,48.38,1661.57,66.97,1.83,Urea
Sandy,Tomato,Sowing,Zaid,Canal,Wheat,North,4.78,31.13,0.94,1.45,55,58,81,18.7,72.76,2812.78,282.13,1.23,Urea
Clay,Tomato,Vegetative,Zaid,Canal,Potato,West,6.89,24.21,0.57,0.82,37,47,58,24.95,35.02,1984.76,164.53,3.61,Urea
Loamy,Tomato,Sowing,Kharif,Canal,Sugarcane,Central,5.56,55.21,1.26,0.11,100,45,113,26.06,48.16,1554.23,298.53,4.36,NPK
Clay,Tomato,Flowering,Rabi,Rainfed,Tomato,West,6.61,19.24,0.2,0.18,46,63,49,28.22,67.17,2356.82,175.72,5.11,Urea
Clay,Wheat,Flowering,Kharif,Sprinkler,Rice,East,6.57,44.07,0.63,1.14,137,18,90,33.92,89.74,2870.36,154.76,6.74,DAP
Loamy,Maize,Vegetative,Zaid,Drip,Maize,East,8.2,56.23,1.06,0.46,115,51,52,14.9,85.54,1132.84,69.04,1.4,Zinc Sulphate
Clay,Rice,Vegetative,Kharif,Canal,Cotton,Central,6.7,36.93,1.38,0.16,36,33,112,16.75,79.93,970.0,81.04,1.75,Urea
Sandy,Sugarcane,Vegetative,Zaid,Drip,Maize,North,6.83,53.82,0.51,2.59,80,49,96,36.17,60.05,797.39,78.25,3.82,NPK
Silt,Sugarcane,Vegetative,Rabi,Sprinkler,Sugarcane,East,6.11,16.24,0.9,0.89,36,17,16,34.93,78.28,1699.81,210.04,5.24,Urea
Silt,Maize,Harvest,Kharif,Drip,Wheat,East,8.3,34.69,0.9,1.56,67,63,21,34.65,63.54,1511.06,182.91,2.49,MOP
Sandy,Rice,Flowering,Rabi,Rainfed,Rice,South,7.61,32.85,1.34,0.62,35,20,89,16.26,57.51,892.2,296.49,2.47,Urea
Clay,Potato,Vegetative,Zaid,Sprinkler,Sugarcane,Central,5.64,10.41,0.27,0.24,46,86,22,11.75,43.41,2220.66,158.55,1.23,Urea
Loamy,Cotton,Harvest,Kharif,Rainfed,Rice,East,7.88,32.16,0.75,2.26,33,65,70,25.7,87.06,1033.14,89.76,5.06,Urea
Clay,Cotton,Sowing,Zaid,Rainfed,Potato,East,6.23,28.45,0.44,0.46,111,38,56,36.1,65.89,2318.26,120.73,4.94,DAP
Sandy,Cotton,Harvest,Zaid,Rainfed,Rice,East,7.81,43.49,0.23,0.17,130,51,28,17.13,70.52,2548.89,250.33,4.58,MOP
Clay,Maize,Vegetative,Kharif,Sprinkler,Wheat,North,7.79,56.92,0.39,1.8,135,15,12,37.13,38.46,2625.28,255.98,7.56,DAP
Silt,Wheat,Vegetative,Rabi,Drip,Potato,Central,5.26,14.29,1.47,0.14,136,12,116,14.25,55.85,610.1,79.48,4.37,DAP
Clay,Sugarcane,Sowing,Kharif,Drip,Cotton,South,7.3,26.37,0.48,1.37,69,83,81,18.94,87.88,1056.63,296.34,6.63,Compost
Sandy,Rice,Sowing,Zaid,Canal,Wheat,East,5.66,32.2,1.42,0.94,48,74,49,18.95,75.46,1667.65,138.1,3.62,Urea
Silt,Rice,Vegetative,Kharif,Rainfed,Potato,South,5.69,32.76,0.47,1.03,47,21,21,14.53,82.97,2567.64,139.55,6.35,Urea
Clay,Tomato,Vegetative,Zaid,Rainfed,Wheat,South,5.69,48.74,1.41,0.11,65,45,40,36.18,53.75,1322.96,121.22,6.76,NPK
Clay,Cotton,Flowering,Kharif,Drip,Potato,South,7.4,32.17,1.05,2.9,79,65,44,22.38,33.99,2047.63,241.9,1.29,SSP
Silt,Potato,Vegetative,Rabi,Rainfed,Sugarcane,Central,5.42,11.36,0.35,1.6,118,61,93,15.72,51.09,1472.75,284.46,1.84,Compost
Loamy,Cotton,Flowering,Kharif,Sprinkler,Wheat,Central,4.5,45.51,0.96,1.76,71,41,101,14.42,52.56,282.92,228.31,7.19,Compost
Silt,Tomato,Sowing,Rabi,Rainfed,Potato,Central,7.36,54.24,0.61,2.03,87,65,75,22.63,48.07,1085.77,73.55,4.37,MOP
Loamy,Tomato,Sowing,Rabi,Sprinkler,Rice,West,5.18,35.7,0.7,2.41,81,20,36,10.52,61.6,2318.82,243.21,6.23,DAP
Sandy,Potato,Sowing,Kharif,Canal,Maize,South,4.92,39.06,0.77,1.86,123,10,12,13.63,41.53,2244.82,244.56,5.3,DAP
Sandy,Tomato,Vegetative,Zaid,Canal,Wheat,West,5.45,18.15,0.75,2.31,158,15,57,10.11,86.26,2674.26,212.49,5.11,DAP
Silt,Rice,Vegetative,Rabi,Drip,Tomato,North,6.02,21.03,1.06,1.4,139,88,30,10.73,84.45,1860.08,97.9,1.83,MOP
Silt,Sugarcane,Flowering,Rabi,Drip,Potato,South,6.4,21.76,1.2,1.18,56,83,61,39.92,45.7,2346.03,174.95,1.17,Urea
Sandy,Rice,Vegetative,Kharif,Rainfed,Cotton,East,4.68,31.54,0.63,2.49,143,33,16,23.47,69.09,1362.46,58.22,5.21,DAP
Loamy,Cotton,Vegetative,Rabi,Canal,Rice,South,8.38,56.41,1.4,2.61,41,81,60,31.87,60.07,1179.16,113.81,7.88,Urea
Sandy,Cotton,Flowering,Zaid,Canal,Rice,Central,7.36,36.09,1.42,0.5,40,33,106,32.11,45.0,1151.55,217.95,5.41,Urea
Silt,Maize,Sowing,Rabi,Rainfed,Maize,South,5.79,19.6,0.25,1.67,55,86,54,36.41,83.83,645.32,140.67,6.15,Urea
